rating,title,description,job_title
5.0,Lots to do ,"I felt like a robot, doing the same thing everyday I wanted to do more than just put stuff away for other people to pick pack and deliver. I understand the importance of it but it was not for me ",Stower
4.0,"Nice pay, flexible time off",The only con I have for Amazon really would be how entitled people are getting from our customer obsession. Most of the time the people we help are thankful and kind; but sometimes there’s the really hateful customers who demand way too much for a problem fix.,Customer Service Associate
1.0,Not a good job at all,Terrible work life balance. Managers don’t care. No sense of purpose. You are basically a robot from the second you enter the doors. Worst work experience ever. ,Amazon Warehouse Associate
4.0,Good source of income if just starting to get onto your feet ,"Wouldn’t recommend the long term In amazon but if your advancing I would say stay, also if your trying to save a certain amount I highly recommend because of the weekly pay. I wouldn’t stay forever if your just looking for work management is shiesty depending on location .",Fulfillment Associate
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
4.0,"The job isn’t hard , but for the job it could be better pay ","Break amounts could be better , programs for families  with sick children could be more beneficial.  Having someone you could actually speak with would help a lot. Missing your break just because you have to go down stairs to speak to HR.",Amazon Warehouse Associate
4.0,Going place ,Good place to work wether  you have experience or not and there a ways you can advance very quickly with Amazon. Starting pay is 15$ And you get paid weekly. ,Warehouse Associate
4.0,"Good benefits, lots of repeated manual work","Pay can be rewarding, but expect a lot of work that is always logged per hour. If you can keep a solid sleep schedule and you have good enough physique to do the same thing for 10-12 hours a day, this is for you. ",Warehouse associate
3.0,It's fine.,"I like working here but at the same time it's extremely unfulfilling. You aren't supposed to listen to headphones or go on your phone but I do anyway because if not, I would have quit a long time ago or lost my mind due to the mind numbingly boring work. It's extremely repetitive and you are on your feet for long hours. I like it because people leave you alone and even though leadership will bug you about your mistakes or low productivity, these seem to be empty threats. I have unparalleled flexibility in my schedule so this is the best option for me at this point. I hope to get out of here soon though.",Inbound Stower
3.0,It was okay,"It was a fast paced environmnent, but it was a good first job. I'd get experience, then get out. The management wasn't that supportive and it gets tiring, but you may get used to it.",Warehouse Worker
3.0,Nice people ,The people are great but the advancement opportunities are limited.  I had to resign just to apply for a permanent position degrees in the sun will come out of the sun ,Customer Support and Services
3.0,Not friendly poor encouragement ,Its really easy job ever but theres no encourage for work quality like some incentives or something. And not friendly each coworkers. Managers are cold,Stow and Picker
3.0,Repetitive work/labor intensive,"This warehouse job gets too repetitive after a few months of performing the different jobs. If it weren’t for the friends I’ve made, I would’ve quit sooner. Also, hard to grow within the company unless you know the managers.",Fulfillment Center IT Associate
5.0,You Have To Like Repetition ,"(ANY NEW PEOPLE don’t be scared of the having to do everything fast or it being loud)  I absolutely love Amazon. I have a lot of energy so I’m constantly working and I love that. Sometimes things Get jammed so it slows down then we just chill.I started packing then went to water spider, rebin, induct and now soon to be a sort pg all in less than a year !!its very easy to get different positions and move up they have amazing benefits everyone’s really nice where I’m at and I have a lot of friends now. People say it’s alot of work, and I’m sure in the other parts of the building it is but honestly for me I love the challenge. it’s only 4days 10 hour shifts so you get 3 days off!! But they can definitely be flexible. I can go on and on",AFE Packer
3.0,Fun ,Great place would go back but there is a lot of work that needs to be done on the management side of things the pay is not that good and you have to fight for hours ,Prime Now Associate
2.0,"Easy job, but physically demanding and can be mentally draining because you’re isolated and doing the same repetitive work for 10 hrs.","I would only recommend Amazon for someone who is trying to save up some money and work there temporarily. It’s usually very easy work, but it can be physically demanding. ",Warehouse Associate
1.0,Time management skills needed,- What exited me most about this position is that I’ll be interacting with different costumers and also being responsible for making sure that the everything was placed in a safe place ,Sales Associate
5.0,Flexible and easy,Easy work. Able to change tour schedule. Able to work overtime and make more money. Repetitive work. Bonuses and the company cares about you. There are raises.,Associate
5.0,Warehouse,Good place to work. There is always something to do in the warehouse including scanning packages and sorting packages. You can always work an additional few hours.,Warehouse Worker
5.0,Lack of work,They let you go when work get low. Work you really hard and promise promotion but you never get it The environment is okay. I just came to do my work then leave,Production Worker
3.0,"High energy workers, daily grind is life.","A great company, many benefits, many areas to further career or change career with alot, alot, alot of opportunities if you look around. Waiting for someone to help you move up is not going to happen, but with initiative you can go very far.",Worker
2.0,Extremely repetitive and no sense of purpose working for this company,"Easy job to get and good benefits and pay is okay. However, you will quickly learn you are just a number to them. You will constantly be micromanaged and they will not hesitate to let you go for Time Off Task",Stower
1.0,Horrible ,It takes a toll on your mental health along with management treats you like crude. They don’t care about their employees. They work you to death. They say they will do something for their employees and don’t. They are giving the new hires more pay then those of of us who have been there for many years,Warehouse Associate
1.0,Terrible place!,Very bad place to work at! I highest source not recommend anybody to work here. They expect to work like a robot here smh! Your always alone while working. ,Picker/Packer
4.0,Productive and fun place to work fun,It’s a great company to work for you getting paid to sort packages and load and unload packages just do the best you can do and don’t give up. Work is work at every job you do work but they pay a good amount of money for all the work you do,Warehouse Associate
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
1.0,Good pay but poor leadership and everyone is except the person buying a product from Amazon is treated as expendable.  ,They claim to be the most customer centered company but they do not feel employees are customers that deserve the same respect and attention as the folks li I g in the houses we deliver to even though we are those people too.  They only care about the external customers not the employees.,"Ops Manager, Station Operations"
2.0,They really pump you up in the beginning,"Training? Learn as you go, procedures change every few weeks, alot of employee/mgr turnover. Not much chance for advancement if you aren't in w/ mgmnt",Fc1
5.0,Production ,Excellent job ,Associate
2.0,Hard work,Ask you to do extra work and you don't recieve extra pay.,Stower
4.0,Ok place to work. ,I work on the reduced time shift meaning I work overnights Thursday through Saturday 6pm-6:30am. It’s long hours and hard work but it’s not bad once you get used to it. Pay is good for the work. ,Warehouse Associate stow
4.0,Keeps you on your feet all day,"It was okay working at Amazon. The people there were nice and whenever you needed help and were clueless about something, they helped you. They offered two 15 minute breaks every couple of hours. Be prepared to work long 10 hours shifts and come home to your back and feet hurting!",Warehouse Worker
1.0,No place for advancement ,"If you want to get promoted you have to kiss higher ups. You have to constantly be in their face and the managers are the only way you can advance. Not good to work, only for easy money. ",Fulfillment Associate
5.0,fun ,"great place to work, people were great on helping out on the first day, was hard getting shift as you work on your own from picking your days to the times. have to really want the shift in order to get them. easy job easy money ",Personal Shopper
3.0,Decent ,"The job ain’t that bad all depends what you make of it if you don’t mind labor and being on your feet it’s not bad just long hours money is decent, management is on top of you all times ",Packer (Seasonal)
1.0,Horrible place to work.,"When I came to amazon, it was okay for the first couple of weeks and then they just dropped me like a fly and I was left with a bare minimum training. I didn't even know I had an assigned manager for me to talk to when I need something, and don't even get me started about HR.",Amazon Warehouse Associate
3.0,Long hours,Okay if you like been out all day. Rescue is what makes me mad. Like we started at the same time now I gotta go help you like how’s that fair. Good company if you like to be out all day rain or snow 🤷🏿‍♂️,Delivery Driver
3.0,If you enjoy 10 hour shifts this is for you ,Average pay of $15/hr… it’s a good job for people who are down to work long shifts. I made some good friendships there as well. Management does pick favorites… at least where I was ,Amazon Warehouse Associate
4.0,"Amazon, what else can I say","Amazon, you hate it or love it. Not much of a middle ground in many aspects. Its a good company to work for, depending on how management for your building is. Amazon does invest into its employees a lot more than people say, but also it feels like they expect more out of us than we can realistically provide. I got lucky and found a building where the team works with me, others aren't so lucky.",Amazon Fulfillment Associate
1.0,Amazon is not the best place to work,"Like many reviewers, I feel that there are too many cliques with management; if you have a problem with one, they all team up against you. Management is mostly unqualified, they play favorites, and they couldn't care less about you as a person. ",Sortation Associate
3.0,Ok,Ok place to work. It is good pay and benefits. Also flexible scheduling based on your building. Leadership is always good. They are very helpful. It is a job.,Fulfillment Associate
1.0,Terrible,Bad work experience. Terrible management. Work required isn’t reflected in the pay. The only good thing is picking your own work schedule. Everything else is bad,Prime Now Shopper
3.0,Constantly Busy,"This is a pro and a con.  There is always work to be done so if you are someone who enjoys taking on overtime and not having a dull moment at work, this is great.  If you are someone who like to have a life outside of work this can be a problem because during holidays you basically live at work and even some normal shifts the management team will ask and even have mandatory overtime.  On the plus side the work is very straight forward, but can be physically demanding at times.",Amazon Fulfillment Associate
5.0,"shopper was a fun , easy job very laid back ","it was a fun job well atleast in the soho location you pick orders for a customer and thats about only thing that was bad for me was getting shifts shifts got taken really fast  but other then that great job you will mostly be working alone, at a calm pace the job is not heavy at all",shopper
4.0,Good Company to Advance in,So far this has been a very easy job. It can get tiring though because it is a physical job and you are on your feet for 10+ hours. I have only been here a short while so there is not a whole lot for me to say at the moment. I will review at a later date once I have been with the company for a little while longer.,Tier 1 Associate
1.0,L5 Sort Operations Manager ,Terrible work/life balance. They expect you to worm 14-15 hour days. Some T3 and AA’s will make more money then managers when you factor hours worked and days worked. ,L5 Sort Operations Manager 
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
4.0,"Good benefits, good pay",Benefits and pay are good compare to an other job in Florida that doesn't requires lot of skills. Lunch breaks sometmes limited to  2 - 25 minutes breaks due to the walk back to start work,Ship Dock Associate
2.0,Miserable,"It’s rough. Long days, barely any recognition for a job well done, but you WILL hear about it if your rate drops, or if you take a little too long in the bathroom. Pay was eh. Better than some, but you’re expected to do a lot for what they offer. The mandatory extra time (MET) is just cruel. Understandable for the holidays, but when it’s happening year round, it gets old real quick. Not worth the headache. Everyone, except management, is absolutely miserable.",Amazon Fulfillment Associate
1.0,Under paid and over worked,"Management treats employees like robots. The managers are often hired without prior warehouse experience so they don’t understand what they’re asking us to do is not possible. They are more worried about numbers than keeping the environment safe. Bad communication between dock and lanes, too many packages are being sent at once and then we get in trouble for not picking fast enough or we have to bury ourselves in packages which is dangerous. Management is terrible at communication and is extremely unorganized.",Associate
2.0,Incompetent management and toxic work culture,"Poor management structure in FC's, and often haphazard communication between shifts and departments of new deliverables and/or practices. My management peers would look down on associates. Many firings of associates were justified, but the joy from peers in management when firing associates was repulsive. Incompetence was not restricted to my FC, but I heard operational and logistics stories from peers in other newly opened FC's. Covid safety guidelines were not enforced or practiced by upper management. The work is also not fulfilling, so there is immense turnover. Some days we'd have to come in 1-1.5 hrs early and leave 1-1.5 hours after shift. I will finish by adding that I've heard COMPLETELY opposite and AMAZING experiences from other FC's. I would avoid newly made FC's.",Area Manager
5.0,Pay,"Amazon is a great company to work for ! You are compensated for your hard work; however, I wish the breaks were longer. Being on your feet all day long with only 30 minutes in between including the time you walk from &amp; to your station",Amazon Associate
3.0,"There was no interview which is always a plus, the hours were flexible, the supervisors were ok, breaks were given","Overall It was a decent company to work for. The hours make it possible for you to only have that job and still be able to handle outside business outside of work. Also since it’s usually a part time position, it’s possible to have a second job because only working there may not be enough to pay household expenses.",Package Handler/Sorter
4.0,Flexible,Flexible schedule... Average pay... Management tends to have a one track mind and many of the processes don't make sense and actually prolong the experience,Warehouse Worker
4.0,It’s a decent place to work ,I liked working there at first everyone is friendly and there to get their paychecks but if your looking to rise up don’t count on it. Getting to a higher position is hard and it’s competitive but once you got it your the first person with a target on your back and your stress will go up.,Ib problem solve
5.0,Productive and weekly paychecks,This is a job that requires work,Associate
3.0,Should pay more for workers in different areas,"Working there two years ago they gave everyone at every Amazon the base wage of 15, which is cool. But I feel if cost of living is higher in your area you should be paid more. In California, minimum wage is a lot higher than other states. ",Inbound Receiving Clerk
3.0,Good pay but very tedious work,Pay was really good but it was very tedious and not very fun to work. You are put in your station alone and do repetitive hand motions while standing for 10 hours with two 30 minute breaks in between. You get free hot chocolate though and raffles every week,Amazon Warehouse Associate
1.0,Problems with Training,"I was there for a short time as a contractor, and I couldn't do the job they required because of the failure of Amazon to ship me equipment, poor training, and flaws in the training material. The failure to ship equipment was almost understandable, with everyone working from home and things being chaotic from COVID-19, but it cost me several days when I should have been at work. The training was not relevant to my required work and had significant errors in the tutorial for the CMS the role required. Furthermore, management was creating the rules for CMS implementation as the project went along. Working for Amazon was the most frustrating job I have had because I tried to communicate to management that the tutorial did not address my actual work duties and had fatal errors preventing me from learning what I needed to learn to pass the material. The most discouraging thing about working at Amazon was I had to pass the training course even though it was unrelated to my actual work. Another frustration was the CMS used for the job because it is clunky and outdated, requiring hand-coding of links in the CMS. It was as if no one had heard of a WYSIWYG CMS. Management was nice and pleasant to work with, but training could have been better as well as improvements to the CMS. I didn't last at my job at Amazon, but I'm not sad about it. I won’t ever apply for an Amazon job again because there are better, less frustrating jobs and places to work.",Editor
1.0,Terrible place to work ,I wouldn’t recommend Amazon to my worst enemy.after working there for about 7 months I was interested in an internal transfer. You could only apply for one every 30 days. I had perfect attendance and productivity but they still would not approve my transfer. ,Amazon Fulfillment Associate
3.0,Boring workplace,"Good pay, just remember to get your sleep, hr is slow, very easy but boring, pray that you do not get put into counting, picker/ packer is the best unless you are applying for an upper position.",Picker/Packer
1.0,Long hard houes,"Mandatory overtime almost all the time with a day notice. Will move you to harder jobs all the time with no real training and expect you to meet numbers. Constantly being watched on those numbers and will replace you quick, they don’t care about you.",FC Associate I
2.0,They overwork you to injury or death,"Injures happen all the time, including some serious ones. Productivity rates are high and they keep increasing it. If you go to the restroom outside of your break times, it's almost impossible to hit your target.",Problem Solver
4.0,Great Place To Work,"Great place to work with excellent atmosphere. Some improvements can be made, but overall I like working here. Great benefits, but working a lot of shifts with little breaks is hard. ",Sales Associate
1.0,Amazon Flex,No paid overtime even though most likely you will be doing overtime. No training or consistent hours. Good flexibility. Be prepared to drive 50 or more miles away from the warehouse and deliver packages.,Amazon Flex Driver
1.0,"0 Stars, this place is awful ","They don't care about their people. The work environment is awful. It's hot, and filthy, and largely unsafe. The hours are long. Even for being one of the top performers, and having been with the company for 4 years, there are not bonuses or recognition for going above and beyond. It definitely takes a toll on your body. But the emotional abuse is far worse. The morale is so bad here. I 100% would never recommend this job to my worst enemy. ",Supervisor
1.0,Bad,Bad environment to work at don’t work there if you don’t want to be rushed all the time. Short breaks. Weird people. Bad bosses                                                          ,Picker/Packer
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
3.0,Poor work environment ,"I’ve met some great people here, but management makes this place almost unbearable. The high turnover rate speaks for itself. Things are constantly changing and leadership does a poor job of communicating these changes with associates from shift to shift. Majority of the managers won’t acknowledge you unless it’s to reprimand or micromanage your every move. Safety hazards are constantly ignored because all focus is on productivity. Covid-19 protocols are nothing more than a front at this point. It’s all about numbers here, so don’t expect to work here and feel like you matter as an individual. I would recommend milking this job for all it’s worth and moving on to better things when the opportunity arises.",FC Associate I
5.0,Fun work place,"Easy, pay good, I can’t think of nothing bad to say….",Sortation Associate
1.0,"Good Benefits, bad pay","Work alone at your station all day for the the first 2-3 months until given opportunity of advancement, pay is very low for how much they expect from you. Great job for those who prefer working alone. Very physically taxing...did moving job on side and workout and am active and was exhausted after end of day.",Picker/Packer
3.0,"A place to work with full benefits, but that's about it.","A lot can be said for the way Amazon hires and fires it's employees. You can get a job in a min as a tier 1 associate in the warehouse. In a pinch it's not as bad as the crazy stories you hear in the media. You get reasonable breaks and yes you can go use the restroom during the shift. Management aren't monsters, but Amazon likes to hire fresh out of college people for the management rolls it fills. You will get a new manager every few months which is frustrating.",Warehouse Associate
3.0,It’s good and fast money,"They hire almost anybody and they do it quickly so it’s definitely something to do. The hours are long but,the money is good and the work is not too bad. All in all, a decent job.",Picker
4.0,HR contact center,Was a good job but ultimately I left due to position being in a fairly new department and was unorganized in my opinion. The pay &amp; benefits were good. If I hear of things changing within that department I would reapply! ,Human Resources Assistant II
1.0,Dumb work ,Don’t ever work here it’s so bad and they don’t know how to manage. Yell,Driver/Operator
4.0,Most horror stories are overblown,"Most of the horror stories you see online about working in an amazon warehouse are overblown, exaggerated or outright manufactured. The expectations are not unreasonable.",Tier III Process Assistant
1.0,Don’t do it if you enjoy feeling your legs,"Nah, it’s not worth it chief. They only promote if you have a manager in your pocket, even then it doesn’t happen often. Most of the people don’t work, so if you work hard you end up having to shoulder the load. ",Amazon Warehouse Associate
4.0,Management ,Very polite positive customer service and the service was great and the service was quick and friendly and helpful. Thankful for the opportunity for today to work on the weekend for the next weekend ,Warehouse Worker
3.0,Management ,I thought being friendly with the managers would be beneficial in some way but all that led to was me being their first choice for extra work with little to no recognition. ,Amazon Fulfillment Associate
4.0,A good company to put on your resume,"If you want to be a part of an organization disrupting the industry, then Amazon is the right place. There are many sub-organizations within the company working on different projects and initiatives. ",Risk Manager
3.0,"Easy work, long hours","Job is easy, no department is difficult but it is repetitive. Could be boring if you don’t work around other employees. Okay job if your in school or for temporary work. ",Fulfillment Associate
2.0,It wasn’t for me. ,"My experience wasn’t good. By the end of my first week, I had a breakdown and everyone kept telling me that it’ll be fine but it wasn’t fine. I was barely functioning mentally and physically because of the long 10 hour shifts. My body was in so much pain and my mental &amp; emotional health was effected. I felt like no one cared that I was a few seconds away from breaking down because of the pressure to do my job. ",Picker
4.0,Nice job ,"It is great working here at Amazon. Job can be fast paced at time but, hours can fluctuate due to volume so, you might not get enough hours for the week. Some managers show favoritism to tenured employees. ",Sortation Associate
4.0,Amazon ok management but good people,"Overall for the money, it’s a decent job. There is a lack of management training that leads to a trickle down problem of no real leadership as most are just trying to hide that they have no support from above and lack the knowledge they need to help. There is a fair argument that they do like to promote and hire certain stereotypes that live in their own self absorbed bubble...these seem to flourish at Amazon as the better managers often leave to other companies and high turnover of good workers and a high retention of those just skating by. For the money, a decent job, but not a real career place. Practical skills, advancement, and lifelong knowledge aren’t pat of the Amazon experience...good mangers that move on to other opportunities that call you up to join them might be the only hidden perk.",Tier 1 Associate
3.0,Typical Call Center,"Managers are very hit or miss, you can have a great one or one who bullies you. Most customer calls were simple returns so the work gets very repetitive. Job advancement is hard to come by, hundreds will apply for a new position but only 1-10 will actually get it.",VCS
4.0,Flexible time off ,I loved the flexible time off options. Pay is fair for the work being done. Management moves around a lot so it was hard to build a relationship with a manager before they were moved to another department. ,Customer Service
4.0,"Long hours, great benefits","A normal shift is 10 hours, but they do have mandatory overtime which can lengthen your shift. Usually 4 days a week, and 3 days off. Management is usually new graduates with no warehouse experience which can make them less empathetic to the hard work we do. The culture is great &amp; everyone is accepted.",Warehouse Associate
3.0,Days fly by,"A great company to work for, but you are expected to work.  It is hard work, but you are left alone to do it.  They make taking care of our customers a major part of the job, and that is my biggest reward for doing the job",Picker
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
1.0,The worst place I have ever worked,"I worked at Amazon for 3.5 years as a logistical specialist first, then was given the added title of a CDL driver. Amazon does not care.... at all. They will never promote you, and the pay cap is a joke. As a CDL driver, I was paid the same rate as a packer in the warehouse. When hired on, they will promise the world, but in reality, they will just overwork you while being extremely rude to course you to quit to avoid paying unemployment.",Transportation Management Specialist / Commercial Driver
2.0,Long hours,"Didn’t like workin there, is too much work for what u get paid, didn’t want to adjust my schedule even thought I go to school. Since I was a new hire I had to wait one month. Supervisors watch u the first days to see how u do and always complain on how many mistakes u make",Warehouse Worker
4.0,Productive and fun work place,"Always moving and doing something, it is a very physical job. You are moving packages that range from super light to heavy (up to 50lbs). Management is not good.",Amazon Warehouse Associate
3.0,Okay,"It was good starting at 15 until you see how much work there is. Kept you in shape but constantly overworked or mandatory overtime, work morale and management was poor. Saw a lot of people promoted based purely favoritism not work ethic and high turn over rate of employees. I loved working here because of the flexibility of choosing your designated shift when you first apply day shifts, mid shifts or overnight shifts available also if you wanted full time 10 hours for 4 days or part time 8 hours for 3 days. Also appreciated no interview I find it weird when entry level warehouse jobs need interviews",Amazon Warehouse Associate
1.0,Mislead leadership,"Management treats the workplace like a school. They think music and ""fun"" events like a spirit week makes up for the underpaid and overworked employees. If you leave to use the restroom you will be questioned, as to why you left. Management plays favorites. I saw a managers niece come work and get promoted within 3 months.",Amazon Fulfillment Associate
5.0,Overall i love working for amazon from home,Fun and pleasant place to work from home! Easy and they always have good bonuses they care about their employees I love the management and all! Respectful  of their employees  and always motivating. I love it,Amazon Customer Service
2.0,Just in and out,"This place wouldn’t be bad as a 1-2yr plan but outside of that then you’re having to defend yourself with the rate system plus management on you for little things, not finding them when you need them, and constantly changing new managers. I’ve been there for 8yrs and finally had enough of the stress, fighting to stay afloat, and having to put others under the bus to avoid weekly write ups for rate. ",Amazon Warehouse Associate
5.0,Good place to work,Very good place to work. Good schedules and flexibility. Everybody gets along with each other. Decent pay for the work. Great benefits. Work independently. ,Inbound Stow
2.0,Very much like a staffing agency ,Hired as a recruiter only doing sourcing.  Feels very much like working at a staffing agency. All new recruiters start doing only sourcing regardless of experience level. ,Senior Corporate Technology Management  Recruiter
5.0,Great incentives ,"Great place to work room for advancement , holidays are busy but they reward your hard work. Management is there to make sure your day is successful. Great place ",Amazon Warehouse Associate
3.0,Good pay but not for everyone,Amazon has exceptional pay for the work you are doing. The work is more on the boring side so if you don’t like standing around like a zombie then this isn’t for you.,Warehouse Associate
3.0,A job where you are constantly moving ,"You drive all day dropping off packages hoping you don’t have a long shift. The pay’s not bad, better then most jobs but not as great as other delivery companies.",Driver
4.0,Overall great place to work with flexibility,"I can't complain, it's flexible where I can make the money I need and still have a life outside of work. Great benefits and opportunities to advance. Coworkers are pretty good too. ",Amazon Warehouse Associate
3.0,Stable workplace ,Amazon is a stable workplace the only downfall is there is too much favoritism. There is not much space for career growth. If you are looking for a job to get you back up on your feet this is it.,Warehouse Associate
2.0,Talk using high road language but actions take low road. ,"Employee are too often left in the dark, always worrying whether you are doing something wrong and what that might mean. You can spend a lot of energy wondering if you are following the rules because they change often. When you do something wrong it might be the end of your employment as employees are easily dispensable. Mental health days are needed to keep from getting too stressed. ",Disability and Leave Case Manager
3.0,Training is not good ,You'll train for 2 weeks and be thrown into production with no choice but to sink or swim. Managers will try and say they understand and they will support you while pushing you back on calls.,Customer Service Representative
4.0,Its okay,Hard work but the pay was nice. The expectations are ridiculousand you will sweat and work but agaian good pay depends on your work ethic and I quit cause I couldnt,Associate
1.0,Horrible ,Okay this has to be the worse job ever. Literally little to no communication low pay long hours standing the entirety time and your pace it tracked by a computer.,Packer
4.0,"Easy Going, Self Managed",As a prime shopper the compensation for this position was okay. Since we only picked and packed groceries I understand the compensation. Management changed every 6 months so the store was behind on changes that were meant to be made in advance. Because we work in a Whole Foods location we have to deal with them directly which slows down the process of our job a lot. ,In-Store Shopper
4.0,Productive,"Great choice of hours, I’m able to work my 20 hours a week in just 3 days and be off for 4 days straight. Overtime is always available and I’m giving the option to use VTO when I want a full weekend off with no penalty. ",Sortation Associate
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
4.0,Productive Rewarding Experience ,"Team mentality here. Employees band together to get the job done, reach quotas,  and exceed expectations.  Advancement opportunities are there, just need a bit better delivery when it comes to interviewing process. All in all a great workplace!",TDR Associate
4.0,Good Company to start a career ,The company is like any other if you are willing to do the work you will be satisfied. Most managers are fair and do recognize the hard work. They try their best to take care of their employees with safety training's. Work schedule allows for good work life balance. Benefits are good. ,Yard Specialist
5.0,Growth potential ,Great company that’s not going anywhere . Opportunity is available for growth if you really want it and go for it . A lot of buses going around so try not to fall under one ( not literally) . The longer you are there the more responsibility you have if your an L4 or up . ,EHS Specialist
1.0,It was a productive and fast place environment and laidback ,I only worked at Amazon for 3 weeks and i have a lot to say. The work environment was fun but boring and mangers and HR don’t really care about you. They will fire you for no reason. If you ask them why they fired you they won’t even give you a good valid reason. You don’t even sign papers when they terminate you. They are very unorganized and very unprofessional managers don’t even act like managers they’re just there literally. Don’t work for this company at all they act like they care about you but they really don’t. They literally have new policies every freaking day which makes it hard to keep up with your job honestly,Picker
4.0,Great place to work ,Great pay and benefits. Managers micro manage on every little thing. Short breaks suck. Plenty of overtime and incentives to work. All in all its a good place to work.,Warehouse Worker
4.0,Wasn't at all bad.,"Aside from the repetitious daily job function. It wasn't too bad. Granted it's not bad if you are position in a light station unpacking, stacking, or boxing ",Receiving Associate
3.0,Not a job for long term,"I worked in a fulfillment center of Amazon (MKE1) for a little over 3 years. I would tell anyone that if you need to make a quick buck for bills then this is a great place, the work is very simple to understand and do (short term) and you get $17-$18 a hour to do it. Now the work may be easy for awhile but this isn’t somewhere you should work years for, at the most 6 months or a year then leave because it gets very tiring and physically demanding and starts to put a toll on your body. You’ll also not have much time or energy to do much else in life working 10 hour shifts of manual labor for 4 days along with half the time working a 5th day for overtime. Not much work life balance. Like I said short term it can be great but don’t stay too long. Management is a revolving door and you’ll only have a manager about 6 months till you get a new one. Also advancement is possible to become an assistant manager (PA) in a year or sometimes less but you only make $1 or $2 more just to still have to lift heavy things, run around everywhere, fix stations and on top of all of that have to deal with your employees attitudes and rude behavior which to me doesn’t seem worth it. After a PA position, don’t expect to become a manger because most are hired from outside (college graduates) and making OPS is nearly impossible for the average person with no degree. Just use this place as an in between job to make quick money and get out ASAP! ",Warehouse Associate
3.0,Pretty easy job just long hours ,"Job is very easy. Wear comfortably shoes though because you’re on your feet the whole time! The job had great pay, but you have to work for the pay. Watch your points! ",Team Member
1.0,Nothing good ,Just labor ,Loading Dock Supervisor
3.0,"Good for career growth, but don't stay for more than 4 years","Joined Amazon after college graduation as SDE1, worked 6 years and now SDE3. The work is challenging, and some has tight deadlines that require people to work more hours.",Senior Software Engineer
2.0,Rate is a killer,"People are friendly enough. Friendly competitions, and scheduled company events (food, giveaways, holidays, etc. ... ). When your feet stop screaming at you in pain in about a week after starting you will find you do not enjoy lounging about as much any more.",Inbound Stower
3.0,It’s a decent job with decent pay,Working long hours with short breaks constantly on your feet coworkers were the best part of the job always joking and helping out when things needed to be done management isn’t really to bad their there but don’t really interact with you only say hi or wave every once in a while working at Amazon thought me to work faster and get more things done in a short amount of time ,Ship dock
1.0,Its a modern day sweatshop. The amount of work expected isnt something that can be sustained for a long period of time.,"I don't recommend working at amazon as a warehouse associate. The hours are long, they pay isn't that great and there are too many managers. There are a lot of people who just sit around doing nothing all day.",Sortation
3.0,Long hours  . No sick time. ,Long hours  . No sick time. UPT system is a joke. HR's system is horrible and needs work. Amazon also doesn't believe in a phone and everything is through an app. The system is very faulty. I should be able to call my manager.,Warehouse Team Member
5.0,Great ,Great company to work for no complaints. From my friends at this time if anything changes I will make another post about it but everything is good ,Order Picker
3.0,Great opportunity but exacts a toll,"Amazon can be a great place for advancement as the culture is very focused on learning, there are many stretch opportunities, and the culture does support promotion from within. Amazon will push you to grow and develop new skills.  The downside though is long hours and high stress which can lead to burnout. There is very little in the way of work/life balance. I really appreciate Amazon's focus on doing right by the customer but find that same focus lacking when it comes to doing right by employees. ",Sr. Program Manager
5.0,Would recommend ,"It was amazing working there. I was in the packing department and it was really fun. I made several friends and the management was very supportive. Just don’t mess around when they tell you that you will get in trouble for slacking or TOT (time off task), because you will. ",Fulfillment Associate
2.0,Mindless monkey work,You will work at somewhat decent pace for a long shift. You will most likely zone out. There is little to actually think about. Think of yourself as a human machine,FC Associate
3.0,"It's a warehouse, it's good, bad and ugly","It's what you make it, I needed a more positive, motivating environment. When it became less than that, it was time to go. You go in and do your job but don't become too great and have a better relationship with the associates on the floor, the managers don't like that, well some of them. They have their picks and sadly they make it clear everyday.",Ship Dock 
5.0,Bring u closer to the community on a worldwide basis,Amazon was a fantastic experience for me it paid well they were flexible but be warned human resource on warehouse grounds are terrible and of no help what so ever also the safety associates that walk around seem as they have favoritism to some and not others and are completely disrespectful when approached by set associates,Amazon Fulfillment Associate
4.0,"Good money, a job not a career","I worked night shift so it;s tough to get acclimated with the schedule. The pay is good especially on night shift, but it is a very bureaucratic company. ",Picker
3.0,Productive ,Fast paced. Mangers don’t really know what they’re doing but have really good benefits. Super long hours. Vacation is based on hours and not days so it’s a little harder to manage ,Packer
